time,seconds_elapsed,dBFS
1776314242906000000,0.041999755859375,-51.82467269897461
1776314243020000000,0.156,-48.44139862060547
1776314243120000000,0.256,-40.49396514892578
1776314243221000000,0.357,-41.71487045288086
1776314243337000000,0.473,-43.582698822021484
1776314243437000000,0.573,-45.161739349365234
1776314243554000000,0.689999755859375,-39.529083251953125
1776314243671000000,0.807,-35.884735107421875
1776314243771000000,0.907,-38.04365539550781
1776314243871000000,1.007,-39.91798782348633
1776314243988000000,1.124,-42.07740783691406
1776314244104000000,1.24,-43.873687744140625
1776314244221000000,1.357,-32.11632537841797
1776314244321000000,1.457,-35.01404571533203
1776314244438000000,1.574000244140625,-38.0275993347168
1776314244554000000,1.689999755859375,-40.39391326904297
1776314244654000000,1.790000244140625,-39.53501510620117
1776314244755000000,1.891,-35.195552825927734
1776314244855000000,1.991,-37.033966064453125
1776314244958000000,2.094000244140625,-31.420705795288086
1776314245071000000,2.207,-32.65632247924805
1776314245171000000,2.307,-28.981338500976562
1776314245288000000,2.424,-32.39957809448242
1776314245388000000,2.524,-34.79841995239258
1776314245488000000,2.624,-36.825958251953125
1776314245588000000,2.724,-33.49625015258789
1776314245688000000,2.824,-31.91373634338379
1776314245805000000,2.941,-35.64611053466797
1776314245921000000,3.057,-38.2852783203125
1776314246038000000,3.174000244140625,-40.1129264831543
1776314246138000000,3.273999755859375,-36.241233825683594
1776314246255000000,3.391,-35.97920227050781
1776314246355000000,3.491,-37.26991271972656
1776314246472000000,3.608,-39.85063934326172
1776314246588000000,3.724,-41.76416015625
1776314246688000000,3.824,-42.97034454345703
1776314246789000000,3.925,-35.90081787109375
1776314246889000000,4.025,-37.54554748535156
1776314246989000000,4.125,-29.00333023071289
1776314247105000000,4.241,-26.528470993041992
1776314247222000000,4.358000244140625,-28.490882873535156
1776314247339000000,4.475,-27.255704879760742
1776314247439000000,4.575,-28.494388580322266
1776314247556000000,4.692,-29.715829849243164
1776314247672000000,4.808,-31.120237350463867
1776314247772000000,4.908,-32.248046875
1776314247889000000,5.025,-35.449119567871094
1776314248006000000,5.142000244140625,-37.985355377197266
1776314248106000000,5.241999755859375,-35.80536651611328
1776314248223000000,5.359,-30.732757568359375
1776314248323000000,5.459,-28.070842742919922
1776314248439000000,5.575,-32.027835845947266
1776314248556000000,5.692,-34.998695373535156
1776314248673000000,5.809,-37.68461990356445
1776314248790000000,5.926000244140625,-20.91509246826172
1776314248890000000,6.025999755859375,-24.178743362426758
1776314249006000000,6.142000244140625,-29.907318115234375
1776314249123000000,6.259,-33.91218185424805
1776314249223000000,6.359,-36.5413818359375
1776314249323000000,6.459,-38.60359573364258
1776314249423000000,6.559,-39.07440185546875
1776314249523000000,6.659,-33.740753173828125
1776314249640000000,6.776,-31.435441970825195
1776314249740000000,6.876,-29.880077362060547
1776314249857000000,6.993,-29.904434204101562
1776314249957000000,7.093,-31.14629364013672
1776314250057000000,7.193,-32.201683044433594
1776314250173000000,7.309,-33.4305305480957
1776314250290000000,7.425999755859375,-34.955169677734375
1776314250407000000,7.543,-37.2462158203125
1776314250524000000,7.66,-39.39621353149414
1776314250640000000,7.776,-41.35364532470703
1776314250757000000,7.893,-41.36897277832031
1776314250857000000,7.993,-41.73115539550781
1776314250974000000,8.110000244140625,-42.00279235839844
1776314251090000000,8.225999755859375,-39.07206726074219
1776314251191000000,8.327,-29.747604370117188
1776314251291000000,8.427,-24.41214942932129
1776314251391000000,8.527,-25.998394012451172
1776314251491000000,8.627,-28.028427124023438
1776314251608000000,8.744,-28.05785369873047
1776314251708000000,8.844,-29.34790802001953
1776314251824000000,8.96,-29.028478622436523
1776314251941000000,9.077,-30.60886573791504
1776314252041000000,9.177,-30.847583770751953
1776314252141000000,9.277,-32.82280349731445
1776314252258000000,9.393999755859374,-35.25833511352539
1776314252375000000,9.511,-37.572914123535156
1776314252491000000,9.627,-36.059078216552734
1776314252591000000,9.727,-38.269065856933594
1776314252691000000,9.827,-39.908260345458984
1776314252792000000,9.928,-39.427452087402344
1776314252908000000,10.044,-39.84624481201172
1776314253008000000,10.144,-39.620121002197266
1776314253109000000,10.245,-40.291969299316406
1776314253209000000,10.345,-40.787452697753906
1776314253326000000,10.462000244140626,-37.558536529541016
1776314253443000000,10.579,-39.85626220703125
1776314253543000000,10.679,-41.498939514160156
1776314253643000000,10.779,-40.28722381591797
1776314253743000000,10.879,-41.67111587524414
1776314253860000000,10.996,-42.56883239746094
1776314253977000000,11.113,-40.25388717651367
1776314254077000000,11.213,-40.84271240234375
1776314254177000000,11.313,-39.73147201538086
1776314254294000000,11.430000244140626,-38.86320495605469
1776314254394000000,11.529999755859375,-35.519081115722656
1776314254494000000,11.630000244140625,-24.264461517333984
1776314254611000000,11.747,-29.264888763427734
1776314254711000000,11.847,-33.89203643798828
1776314254811000000,11.947,-36.881568908691406
1776314254928000000,12.064,-39.917091369628906
1776314255028000000,12.164,-41.52254104614258
1776314255132000000,12.268,-39.68110656738281
1776314255234000000,12.369999755859375,-40.986419677734375
1776314255336000000,12.472,-35.08042526245117
1776314255436000000,12.572,-37.371803283691406
1776314255537000000,12.673,-25.811302185058594
1776314255642000000,12.777999755859375,-29.34520721435547
1776314255747000000,12.883,-29.839387893676758
1776314255851000000,12.987,-32.95901870727539
1776314255952000000,13.088,-35.91790771484375
1776314256058000000,13.193999755859375,-35.090728759765625
1776314256163000000,13.299,-35.57579040527344
1776314256268000000,13.404,-38.1676139831543
1776314256371000000,13.507,-25.99701690673828
1776314256475000000,13.611,-29.256301879882812
1776314256579000000,13.715,-26.13189697265625
1776314256684000000,13.82,-29.872655868530273
1776314256785000000,13.921,-34.197784423828125
1776314256887000000,14.023,-37.3158073425293
1776314256992000000,14.128,-33.816139221191406
1776314257093000000,14.229,-36.561279296875
1776314257193000000,14.329,-38.830875396728516
1776314257298000000,14.433999755859375,-40.60986328125
1776314257402000000,14.537999755859374,-41.934635162353516
1776314257507000000,14.643,-36.365692138671875
1776314257612000000,14.748,-38.35248565673828
1776314257717000000,14.853,-40.000667572021484
1776314257820000000,14.956,-33.73418045043945
1776314257925000000,15.061,-36.7076416015625
1776314258030000000,15.166000244140625,-39.0467643737793
1776314258131000000,15.267,-40.48492431640625
1776314258235000000,15.371,-36.58006286621094
